NAME,2019_population,2018_population,2017_population,2016_population,2015_population,2014_population,2013_population,2012_population,2011_population,2010_population,2009_population,2008_population,2007_population,2006_population,2005_population,2019_home_values,2018_home_values,2017_home_values,2016_home_values,2015_home_values,2014_home_values,2013_home_values,2012_home_values,2011_home_values,2010_home_values,2009_home_values,2008_home_values,2007_home_values,2006_home_values,2005_home_values
"Lincoln County, North Carolina",86111,83770,82403,81168,81035,79829,79740,79313,78932,78450,76043,74746,73106,71894,68947,202200,180700,168200,159200,152300,148800,156100,144200,160200,152500,160300,147900,129000,129900,115900
"Shawnee County, Kansas",176875,177499,178187,178146,178725,178406,178831,178991,178941,178301,176255,174709,173476,172693,167513,134400,136000,131100,135600,129300,121900,121000,124800,115000,121000,120100,115900,114500,109500,105300
"York County, Pennsylvania",449058,448273,446078,443744,442867,440755,438965,437846,436770,435490,428937,424583,421049,416322,400670,191000,183000,179900,172000,168800,167000,165300,167400,173200,185500,181300,183600,170000,159500,140000
"Grant County, Washington",97733,97331,95158,93546,93259,93147,91878,91723,91265,89744,88098,84697,83047,82612,80136,201900,201600,177900,159300,160300,160400,146300,149100,162000,171000,150800,152300,135200,115700,116000
"Butler County, Ohio",383134,382378,380604,377537,376353,374158,371272,370589,369999,368630,363184,360765,357888,354992,339309,193600,181300,167800,168400,164800,154300,157800,152100,156400,157800,158000,163100,164000,158400,150200
"Shelby County, Tennessee",937166,935764,936961,934603,938069,938803,939465,940764,935088,929030,920232,906825,910100,911438,889955,170900,157700,148600,141200,135800,130700,123000,129400,131700,136800,136100,139500,133400,126800,118200
"York County, Maine",207641,206229,204191,202343,201169,200710,199431,199005,198199,197216,201876,201686,201341,202232,198899,273700,262900,248000,236000,238300,221900,226700,228800,233100,226500,226700,240400,235600,230800,223200
"Washington County, Wisconsin",136034,135693,135101,134296,133674,133251,132739,132661,132386,131971,130681,129477,128211,127578,124849,261200,241500,232300,223100,219100,205100,212600,212000,221100,235300,234700,233400,228600,209500,207200
"Lauderdale County, Mississippi",74125,75317,76155,77755,78524,79739,80254,80220,80475,80229,79099,78180,77100,76724,73647,122000,107400,98000,97100,87400,82000,87200,91900,89300,84500,85700,85600,82200,75600,75200
"Wayne County, North Carolina",123131,123248,124172,124150,124132,124456,124583,124246,123697,122907,113811,113671,113590,113847,109615,118400,132700,117600,127800,119600,105700,117700,105300,97000,106900,113200,112500,101600,95000,94900
"Bowie County, Texas",93245,94324,94012,93860,93389,93275,93487,93148,92793,92723,93964,92283,91553,91455,83813,131400,116500,132000,111100,101400,117100,104600,94300,101300,93900,89400,87300,90300,79200,69600
"Richmond County, New York",476143,476179,479458,476015,474558,473279,472621,470728,470467,469363,491730,487407,481613,477377,455344,586500,556000,501300,477100,457700,441000,432600,434000,441000,452300,449400,468600,472300,476500,434000
"Geauga County, Ohio",93649,94031,93918,94060,94102,94295,93972,93680,93228,93408,99060,94753,95029,95676,94171,259600,245700,259200,228300,218300,211400,219700,217900,211400,226300,237500,232300,234000,216300,233700
"Gregg County, Texas",123945,123707,123367,123745,124108,123204,123024,122658,123081,121854,119637,117528,117119,117090,112357,147400,141100,137600,123600,130100,126400,132300,109500,121400,121200,119200,111100,105200,97600,96700
